file_name,tsne_norm_x,tsne_norm_y,tsne_raw_x,tsne_raw_y,umap_norm_x,umap_norm_y,lda_norm_x,lda_norm_y,class_id,class_name,camera_id
S027C003P044R001A069.skeleton,-8.13005,-58.76872,22.769577,-1.3654048,12.806533,-1.6245705,1.3813584,2.1697218,69,thumb up,3
S009C002P017R001A056.skeleton,-8.216627,5.6295033,55.788616,-39.686428,10.602981,2.0426629,-0.15851441,-0.07561129,56,giving object,2
S025C003P065R001A068.skeleton,55.355125,19.139063,37.507248,14.378737,14.447479,10.007583,1.5928888,0.10052054,68,flick hair,3
S030C003P095R001A098.skeleton,-21.876232,-47.041595,-10.898119,-1.2156014,11.323374,-2.3566546,1.8299971,3.658209,98,arm swings,3
S008C001P007R001A006.skeleton,37.65165,-25.909092,63.97199,-8.312489,7.8138156,-0.08148446,-6.0600557,3.2803478,6,pick up,1
S016C003P008R001A026.skeleton,12.485615,47.889874,-19.135157,-61.06265,11.69174,7.399557,0.07463813,-0.2870453,26,hopping,3
S001C001P001R001A024.skeleton,-20.556072,16.406963,47.264984,16.699253,11.060801,2.8166409,-1.9398631,1.3083677,24,kicking something,1
S026C003P008R001A106.skeleton,2.6786468,7.939247,-27.518343,-51.633804,9.124448,2.634922,-0.89510953,0.78592134,106,hit with object,3
S007C002P007R002A048.skeleton,-32.44807,-54.532196,53.668034,-25.446554,11.018128,-3.7330642,0.07315208,-1.2218379,48,nausea/vomiting,2
S009C001P019R001A031.skeleton,-5.896966,-48.650112,-47.91045,-17.771254,13.016299,-2.1347392,0.27711233,1.6805795,31,point to something,1
S007C003P016R002A029.skeleton,35.86446,12.313567,-34.983982,-9.781948,12.972297,8.865956,1.7159075,-0.5118219,29,play with phone/tablet,3
S012C001P025R002A046.skeleton,13.83848,-52.925457,39.5542,22.343199,13.267145,0.33540443,-0.0040083686,0.36311838,46,back pain,1
S006C003P007R002A041.skeleton,-3.6843438,56.73187,62.90934,-19.496273,8.943601,8.079575,0.48016214,-0.16239521,41,sneeze/cough,3
S027C003P079R001A104.skeleton,-27.116352,-53.513233,17.737906,-6.066999,11.426878,-3.3471813,1.8358229,4.022443,104,stretch oneself,3
S019C001P048R001A117.skeleton,12.463692,-34.09985,38.51209,-10.555317,9.248159,-1.2039037,-0.16146171,0.77249193,117,whisper,1
S012C001P027R001A047.skeleton,-5.1519413,-47.788418,38.24965,24.099491,12.945954,-2.2441442,0.95837337,1.0050313,47,neck pain,1
S008C002P034R001A003.skeleton,-33.86575,27.137491,53.26956,-30.055145,11.589504,4.566914,1.6669297,0.16328117,3,brush teeth,2
S025C001P056R001A115.skeleton,-37.794506,14.870084,-20.115404,52.578285,12.365719,3.0865924,1.7486187,0.7187674,115,take a photo,1
S028C001P041R002A087.skeleton,7.500982,-36.83145,-36.920666,-17.017698,9.836577,-1.5581222,0.9638974,-0.917003,87,put on bag,1
S028C003P073R001A074.skeleton,-50.852932,-38.51648,-14.985142,0.9097944,10.356445,-4.495611,1.5083656,-2.6101525,74,counting money,3
S015C002P025R001A041.skeleton,-41.609028,45.89128,62.187855,-22.470417,6.4776607,7.077874,0.10735189,-0.65619296,41,sneeze/cough,2
S027C003P084R001A104.skeleton,3.9600456,-59.617832,-0.3523661,-13.000968,12.948192,-0.80394506,0.87112325,3.709236,104,stretch oneself,3
S032C001P043R002A070.skeleton,14.217034,-61.339413,21.51963,60.40386,14.01238,-0.539526,0.81826013,1.6059545,70,thumb down,1
S016C001P039R002A031.skeleton,-15.364598,2.2393446,38.1547,27.237726,11.604291,1.7102963,1.5582085,1.8001577,31,point to something,1
S029C002P051R002A105.skeleton,21.853342,51.092304,77.51232,-14.017202,12.026113,7.5354714,-1.3615583,0.4060384,105,blow nose,2
S021C001P059R002A073.skeleton,-54.005665,-28.020601,52.167084,-28.404825,9.457669,-4.2270703,1.4542742,-1.9160769,73,staple book,1
S030C001P092R002A061.skeleton,6.5975795,6.337007,-26.95282,-2.0307288,8.700994,3.3096995,2.6557486,0.35684806,61,put on headphone,1
S025C002P055R002A080.skeleton,28.475777,-26.968206,10.729356,55.243458,8.371937,-0.3010553,-2.2952418,0.60611236,80,squat down,2
S001C002P006R001A026.skeleton,-1.482824,-69.648224,18.58889,-27.382097,7.686648,-1.862249,-1.1652489,-0.49914545,26,hopping,2
S009C003P015R001A028.skeleton,-6.7785683,-0.70313114,-45.602,-21.882647,10.36602,1.8436829,1.8084764,0.6377845,28,phone call,3
S005C002P018R001A046.skeleton,-36.52528,48.022964,-69.1189,-21.776325,6.503632,7.327373,-0.11724951,-0.94523096,46,back pain,2
S023C002P057R001A081.skeleton,-38.80349,32.14193,-1.443574,17.275055,11.911189,4.4447713,0.60711837,-0.47549832,81,toss a coin,2
S027C003P011R001A082.skeleton,-46.19177,-22.259361,19.925045,-4.3031754,10.253159,-3.867355,1.5123808,-3.5989575,82,fold paper,3
S023C003P061R001A063.skeleton,-14.8637085,-5.865033,14.722776,21.968262,12.392834,-0.17786446,1.8837036,2.0094905,63,shoot at basket,3
S025C002P059R002A091.skeleton,-44.90378,-38.879826,37.155117,-11.810067,10.407873,-3.7030292,1.8207814,-2.6675925,91,open a box,2
S018C003P041R001A085.skeleton,-47.003506,-40.628895,-2.931155,-9.084151,10.721883,-4.0860505,1.2106475,-2.1378624,85,apply cream on face,3
S026C003P075R001A112.skeleton,-10.540765,-43.952385,-23.426039,-27.33982,12.328702,-2.4252841,1.681206,0.7954334,112,high-five,3
S006C003P008R002A049.skeleton,-2.8757596,59.26048,59.387173,12.103485,9.114295,8.291418,0.74780273,-0.3109608,49,fan self,3
S031C003P067R002A107.skeleton,56.045956,12.045878,-20.565065,67.448906,13.9514475,10.288462,0.313266,0.0653941,107,wield knife,3
S017C001P007R001A009.skeleton,60.780025,2.9417894,11.331459,21.386166,15.752912,8.721739,-2.486294,-3.0109034,9,stand up,1
S007C002P016R002A017.skeleton,42.256523,23.612913,7.7831755,-16.951517,14.914289,8.482251,-2.7401638,-2.4817772,17,take off a shoe,2
S031C002P042R001A118.skeleton,-32.11741,58.18646,-32.632355,-39.540813,7.0369215,8.315232,-0.0377692,-0.18774772,118,exchange things,2
S009C002P017R002A041.skeleton,-9.053969,2.8891919,-65.8076,-10.8482,10.268638,2.2465131,-0.75346166,-0.15206806,41,sneeze/cough,2
S031C002P042R001A115.skeleton,-39.227745,32.527687,-61.184734,-14.220862,11.969643,4.516208,0.7133833,-0.70665103,115,take a photo,2
S012C002P027R001A048.skeleton,-36.59047,43.000694,17.72647,-16.086704,7.9206276,7.83408,-2.1187336,-0.16626437,48,nausea/vomiting,2
S020C003P054R002A099.skeleton,0.84391195,64.84919,24.734678,18.876055,9.683819,8.603075,-0.07899477,-0.8749744,99,run on the spot,3
S026C001P072R001A076.skeleton,-36.012787,-39.925537,-29.843159,-39.13509,11.151141,-4.197409,1.1169525,-2.8042943,76,cutting paper,1
S030C002P067R001A101.skeleton,-15.697261,61.842484,2.6754887,-38.91832,8.208089,7.8624587,-2.892216,0.516355,101,cross toe touch,2
S024C003P067R002A090.skeleton,-3.21569,57.245625,31.25759,31.15007,8.994284,8.147718,1.2995152,-0.3717455,90,take object out of bag,3
S003C002P015R002A058.skeleton,-13.3986025,0.32739738,-57.14956,-18.463734,11.555955,1.5428032,0.5893653,0.3734981,58,shaking hands,2
S013C003P016R002A056.skeleton,-9.463372,41.798798,-15.025686,22.820347,9.136265,6.644504,-2.6609695,-0.34554112,56,giving object,3
S032C002P102R001A082.skeleton,-39.57909,9.682068,-28.314482,-32.875626,12.483948,2.5708716,1.8603876,-2.570442,82,fold paper,2
S012C001P016R001A007.skeleton,-14.327503,14.934854,33.427746,26.735937,10.655931,2.8976963,-1.0306764,1.1901547,7,throw,1
S017C001P007R002A002.skeleton,-59.519993,-31.224295,-10.743264,-3.5037632,9.168597,-4.2270675,1.5388312,-2.375897,2,eat meal,1
S013C003P015R002A028.skeleton,-2.542346,45.71239,-45.53762,-2.8215077,10.262021,6.748178,0.20078838,0.3111182,28,phone call,3
S020C003P043R001A068.skeleton,-12.415441,-53.073456,25.259068,11.219138,12.6304035,-1.9998829,1.760541,2.6071196,68,flick hair,3
S005C002P013R001A036.skeleton,-38.31153,28.499577,-22.919668,-51.121517,11.864296,4.383599,-0.38974953,0.16663623,36,shake head,2
S013C001P008R001A038.skeleton,-5.281963,-44.544502,38.479473,-38.30558,12.787467,-2.3090386,1.1445788,2.5406237,38,salute,1
S013C002P017R002A055.skeleton,-10.397389,40.33914,-61.146374,-2.7067854,9.116399,6.530547,-1.5220515,0.6109575,55,hugging,2
S013C001P027R002A055.skeleton,-26.04502,20.809946,-60.16064,11.602256,11.262437,3.5009,0.7375215,-0.0630148,55,hugging,1
S026C002P071R001A097.skeleton,-47.874237,25.276924,-48.073242,-13.481674,12.77442,4.07636,0.3426852,2.5722544,97,arm circles,2
S008C003P015R002A052.skeleton,-34.099068,8.463246,45.990566,-10.868857,12.161973,2.3113801,-0.20702036,-0.20920771,52,pushing,3
S027C001P081R002A114.skeleton,-9.03233,63.308537,-40.69165,1.4386312,9.342819,7.899132,-5.6469116,0.58419514,114,carry object,1
S030C003P075R002A120.skeleton,19.199217,38.405857,-18.756176,-35.968403,12.41727,6.749734,-1.1071885,-0.5516639,120,rock-paper-scissors,3
S010C003P019R002A051.skeleton,-25.753983,-34.822624,34.00735,30.75129,12.259716,-2.601828,-0.9561944,-0.05608705,51,kicking,3
S011C003P002R001A033.skeleton,-42.674416,-23.804773,-5.546704,-15.557769,10.344319,-3.2797067,1.4949863,-1.4985794,33,check time (from watch),3
S029C001P008R001A092.skeleton,21.212866,-15.3546915,-34.262035,2.5295646,8.811889,0.701906,-3.5134661,1.1853824,92,move heavy objects,1
S006C003P001R002A006.skeleton,-3.583152,27.528393,34.512295,-24.573492,8.118528,1.0509413,-3.583248,0.08574778,6,pick up,3
S009C001P025R002A040.skeleton,-5.4874797,-14.997967,-55.630978,5.316601,10.739694,-0.6682595,0.53023505,0.6832696,40,cross hands in front,1
S017C003P015R001A006.skeleton,30.02157,-13.264063,50.577824,19.502901,7.9726324,0.7900338,-4.830744,0.6141318,6,pick up,3
S019C002P042R001A100.skeleton,22.985317,75.76104,6.9716697,86.09499,-8.858579,-0.26729214,-0.36495522,-1.3476287,100,butt kicks,2
S002C002P003R001A023.skeleton,-11.083403,-43.25289,-68.66515,-0.52567375,12.33562,-2.4342954,1.5185865,2.0864508,23,hand waving,2
S005C002P004R001A046.skeleton,-29.179605,-3.9930837,-57.17221,-18.836264,12.124446,2.9793293,-1.1375246,-0.08607322,46,back pain,2
S023C002P066R001A120.skeleton,-24.476439,-36.3834,-3.5564718,-0.8572559,12.123918,-2.6987758,0.67621225,1.0438828,120,rock-paper-scissors,2
S026C001P049R001A067.skeleton,-12.011914,-48.33004,-25.861048,-41.72616,12.646033,-2.929806,1.5512911,0.39593488,67,hush,1
S032C003P043R001A107.skeleton,19.61131,-60.94292,-30.434492,51.440414,14.168818,-0.44812694,1.9309982,-0.528988,107,wield knife,3
